gen,evals,std,min,avg,max
0,100,[ 2.86187107 12.02158059],3.898,10.111959999999996,20.174
1,100,[ 2.76245271 12.92108355],3.7859999999999996,12.270020000000004,20.174
2,100,[ 2.90168885 14.38405715],5.6739999999999995,13.867759999999999,20.288
3,100,[ 3.12037275 15.2399836 ],4.556,14.556400000000004,20.288
4,100,[ 3.6166729  14.67608599],4.556,14.900600000000004,20.814
5,100,[ 3.99182239 15.80296175],3.8539999999999996,15.472720000000002,23.006
6,100,[ 4.2183966  16.74557852],3.8539999999999996,15.367060000000004,23.006
7,100,[ 3.95925549 15.78689013],6.845999999999999,16.040119999999995,25.125999999999998
8,100,[ 4.12569216 16.06268969],6.845999999999999,16.332319999999996,25.125999999999998
9,100,[ 4.39284373 14.38297257],6.845999999999999,16.4163,25.125999999999998
10,100,[ 4.30732148 13.62844085],7.442,16.820059999999998,25.125999999999998
11,100,[ 4.32852145 13.78194108],7.442,17.383460000000003,25.125999999999998
12,100,[ 4.62710951 13.67936768],4.606,17.136100000000003,25.125999999999998
13,100,[ 4.97236938 15.46097022],6.7540000000000004,17.8803,28.536
14,100,[ 4.68444908 16.10166451],7.796,18.58386,28.536
15,100,[ 4.98719531 15.42619849],7.796,18.682160000000003,28.536
16,100,[ 4.83836723 15.39146192],7.796,19.236380000000008,28.536
17,100,[ 4.8894298  15.93698529],7.796,19.81312,28.536
18,100,[ 5.10085345 16.74736994],8.48,20.13388,28.536
19,100,[ 4.81124135 16.36658486],8.48,20.877180000000003,28.666000000000004
20,100,[ 4.82995599 16.98840487],8.48,21.172859999999993,29.796
21,100,[ 5.08219666 17.05061876],5.946,21.067239999999988,29.796
22,100,[ 5.1904112  17.55303677],5.946,21.504019999999997,30.17
23,100,[ 5.43934854 18.06183822],5.946,21.513160000000003,30.17
24,100,[ 5.60872271 18.36965977],5.946,21.21902,30.17
25,100,[ 5.38924662 18.40271719],8.48,21.550159999999995,30.17
26,100,[ 5.58851739 18.60898708],6.766,21.447399999999995,30.17
27,100,[ 5.52065502 18.98631086],6.766,21.61278,30.17
28,100,[ 5.64112667 19.02182957],6.766,21.43908,30.17
29,100,[ 5.7647041  19.26269971],6.766,21.6297,30.17
30,100,[ 5.49278759 18.93567004],6.766,22.016020000000005,30.17
31,100,[ 5.49633114 18.44939023],6.766,21.948179999999997,30.17
32,100,[ 5.53145329 18.25248202],8.214,21.59317999999999,30.17
33,100,[ 5.4985373  18.50155399],8.214,21.799359999999997,30.17
34,100,[ 5.55709328 18.90645128],8.214,21.915699999999998,30.17
35,100,[ 5.74305124 18.71889687],8.214,21.61604,31.65
36,100,[ 5.60621389 18.94911871],8.214,21.79168,31.65
37,100,[ 5.90013696 19.55753308],8.198,21.721300000000006,31.65
38,100,[ 5.97629391 19.71248082],8.198,21.663440000000005,31.65
39,100,[ 5.95294538 20.25995805],8.198,21.775120000000005,31.65
40,100,[ 5.87585366 19.94457069],8.214,21.986620000000006,31.65
41,100,[ 5.85692071 19.56482558],8.214,22.022660000000002,31.65
42,100,[ 6.00330514 20.35664756],8.214,22.07334000000001,33.052
43,100,[ 6.02046279 20.76461172],8.214,22.027200000000008,33.052
44,100,[ 6.10666834 21.65456072],8.214,22.0641,33.052
45,100,[ 6.03202754 20.66217801],8.214,21.844140000000003,33.052
46,100,[ 6.07341698 21.43099391],8.214,22.14994000000001,33.052
47,100,[ 5.97632627 21.78778327],8.214,22.401180000000004,33.052
48,100,[ 6.01701405 20.76973519],8.214,22.177060000000004,33.052
49,100,[ 5.96459748 20.74747936],8.214,22.2745,33.052
50,100,[ 6.04139576 20.18811532],8.214,22.242699999999996,33.052
51,100,[ 5.88981609 19.98812397],8.214,22.57756,33.052
52,100,[ 5.84857792 20.62856999],8.214,23.1542,33.68
53,100,[ 5.97316264 20.91050215],8.214,23.294719999999998,33.68
54,100,[ 5.89367963 19.4632988 ],8.538,23.061719999999994,33.68
55,100,[ 5.87781116 19.23694362],8.538,23.046479999999995,33.68
56,100,[ 5.88446225 19.17937434],8.538,23.130059999999993,33.68
57,100,[ 6.06037573 19.10686788],8.538,22.864939999999994,33.68
58,100,[ 5.94348339 18.78033812],8.538,23.108199999999997,33.68
59,100,[ 5.8925474  18.77605922],8.538,23.13814,33.68
60,100,[ 5.98562077 19.40403051],8.538,23.325739999999985,33.68
61,100,[ 6.0747818  19.61799939],8.538,23.292379999999998,33.68
62,100,[ 6.20636953 20.60837451],8.538,23.51847999999999,33.68
63,100,[ 5.83221388 20.28854603],10.911999999999999,23.717979999999983,33.68
64,100,[ 5.89198735 20.43879644],11.236,23.53951999999999,33.68
65,100,[ 5.77566629 20.2108362 ],11.364,23.643759999999997,33.68
66,100,[ 6.15562422 19.97282904],7.359999999999999,23.10326,33.68
67,100,[ 6.15498018 20.17109566],9.022,23.2668,33.68
68,100,[ 6.15864746 19.46404634],9.022,23.129879999999993,33.684
69,100,[ 6.16695242 19.65609066],9.022,23.36838,33.684
70,100,[ 6.28048269 19.77883718],9.022,23.23,33.684
71,100,[ 6.18463043 19.76191033],11.26,23.38932,33.684
72,100,[ 6.30893852 20.01694033],10.398,23.13748,33.684
73,100,[ 6.26573053 20.25752946],10.398,23.390500000000003,33.684
74,100,[ 6.55546667 20.61033479],7.37,23.303780000000003,33.684
75,100,[ 6.63603796 21.02242612],7.37,23.463160000000002,33.684
76,100,[ 6.70505366 21.16926782],7.37,23.577720000000014,33.684
77,100,[ 6.74918628 21.25764804],7.37,23.555700000000012,33.684
78,100,[ 6.71255861 21.63243861],7.37,23.497460000000004,33.684
79,100,[ 6.623356 21.514358],7.37,23.85528000000001,33.684
80,100,[ 6.85768806 20.42841159],7.37,23.306980000000014,34.926
81,100,[ 6.83877617 21.00097855],7.37,23.467820000000014,34.926
82,100,[ 7.03307776 21.26912316],7.37,23.536720000000006,34.926
83,100,[ 7.04518319 21.61822148],7.37,23.573260000000005,34.926
84,100,[ 7.00819554 20.6096555 ],4.43,23.45366000000001,34.926
85,100,[ 7.00723323 20.61270482],4.43,23.461680000000005,34.926
86,100,[ 7.00746951 20.69495349],4.43,23.535280000000007,34.926
87,100,[ 7.09466789 20.84759938],4.43,23.586320000000004,34.926
88,100,[ 7.22064932 21.03448597],4.43,23.528739999999992,34.926
89,100,[ 7.22406237 21.03164045],4.43,23.538299999999996,34.926
90,100,[ 7.49011198 21.64571782],6.932,23.53616,34.926
91,100,[ 7.38679677 21.73037275],6.932,23.745019999999997,34.926
92,100,[ 7.3123644  22.29199632],9.686,23.902319999999985,34.926
93,100,[ 7.38484205 22.12266711],9.686,23.718899999999984,34.926
94,100,[ 7.52763696 22.55526546],9.686,23.471599999999988,34.926
95,100,[ 7.55996992 22.95624316],9.686,23.73111999999999,34.926
96,100,[ 7.62071884 23.01480176],9.686,23.550219999999996,34.926
97,100,[ 7.8958187  22.65789046],3.6679999999999997,23.431360000000005,34.926
98,100,[ 7.97921161 22.66516931],3.6679999999999997,23.22984,34.926
99,100,[ 7.99821177 22.17047361],3.6679999999999997,23.00099999999999,34.926
